Gene	PM1	PM2	LN1	LN2
UVRAG	830	729	418	369
UXS1	1227	820	609	600
UXT	544	576	681	834
VAC14	1188	861	653	718
VAMP1	94	113	161	152
VAMP2	744	1021	725	759
VAMP3	1866	1869	1870	2036
VAMP4	421	384	236	282
VAMP5	89	224	3	11
VAMP7	0	0	0	0
VAMP8	2616	3249	1129	1328
VANGL1	3206	2523	1466	1406
VANGL2	4	2	3	3
VAPA	4080	3633	2553	2593
VAPB	4207	3582	2873	2827
VARS	4388	2376	6425	6870
VARS2	1736	1666	1906	2197
VASH1	351	318	533	480
VASH2	118	76	1104	999
VASN	101	153	620	523
VASP	1211	1518	451	548
VAT1	3030	3119	1772	1983
VAT1L	4	4	1	0
VAV1	328	303	5	5
VAV2	2369	2242	1251	1259
VAV3	985	963	65	85
VAX1	0	0	9	3
VAX2	5	8	3	7
VBP1	2338	2350	2486	2854
VCAM1	0	0	2	1
VCAN	7	1	2	5
VCL	2673	1921	3812	3305
VCP	11202	9673	12751	13948
VCPIP1	722	497	646	511
VCX	0	0	37	28
VCX2	0	0	1	1
VCX3A	0	0	2	0
VCX3B	0	0	0	0
VCY	0	0	0	0
VCY1B	0	0	0	0
VDAC1	5801	5233	5717	5763
VDAC2	767	636	772	903
VDAC3	2302	2054	2798	3243
VDR	160	127	1142	996
VEGFA	1874	2175	3742	3169
VEGFB	406	708	72	69
VEGFC	47	76	0	1
VENTX	0	0	0	0
VENTXP1	0	0	0	0
VENTXP7	0	0	0	0
VEPH1	203	80	81	79
VEZF1	1500	1336	1079	1038
VEZT	2510	2364	2360	2379
VGF	115	191	35	35
VGLL1	168	62	1	0
VGLL2	1	0	0	0
VGLL3	0	0	0	0
VGLL4	1119	1053	1638	1390
VHL	3432	3407	3143	3047
VHLL	0	0	0	0
VIL1	2	0	12	12
VILL	15	47	40	45
VIM	138	214	101	139
VIP	0	0	0	0
VIPAR	1280	965	605	611
VIPR1	69	78	426	387
VIPR2	7	7	24	12
VIT	0	3	0	1
VKORC1	1688	2078	1315	1406
VKORC1L1	400	302	564	589
VLDLR	244	334	417	367
VMA21	1665	1504	1640	1654
VMAC	73	107	78	72
VMO1	18	18	18	19
VMP1	5569	6519	2788	3017
VN1R1	4	6	6	12
VN1R2	0	0	0	0
VN1R4	0	0	0	0
VN1R5	0	1	0	0
VNN1	0	0	9	6
VNN2	0	0	40	36
VNN3	0	0	0	0
VOPP1	288	201	341	404
VPRBP	1482	788	1352	1184
VPREB1	0	0	0	0
VPREB3	8	3	30	31
VPS11	1402	1347	734	654
VPS13A	2166	1382	3431	2359
