"ID","PM1_raw","PM2_raw","LN1_raw","LN2_raw","logFC_limma","AveExpr_limma","t_limma","P.Value_limma","adj.P.Val_limma","B_limma","baseMean_deseq","baseMeanA_deseq","baseMeanB_deseq","foldChange_deseq","log2FoldChange_deseq","pval_deseq","padj_deseq","baseMean_deseq2","log2FoldChange_deseq2","lfcSE_deseq2","stat_deseq2","pvalue_deseq2","padj_deseq2"
"10-Sep",99,151,517,471,2.04142198590954,3.77048065111696,7.63652142732878,0.000158686119668583,0.000818545117652955,1.20069277683301,310.059838364085,126.397707144599,493.721969583571,3.90609909575934,1.96572855013282,7.48932179247415e-11,6.58842549847426e-10,309.147799227759,1.93828148269848,0.305374230397216,6.3472332952825,2.19221566377369e-10,1.61779335114686e-09
"3-Sep",264,217,2053,1757,3.00444076561229,5.22519217404463,16.7115248964374,1.11298142431066e-06,4.62369029317355e-05,6.41744494945009,1071.5887324777,239.118595891017,1904.05886906438,7.96282222204159,2.99327984837185,4.34898483455991e-33,1.34499604316823e-31,1067.95202565009,2.96572822584308,0.216815821606186,13.6785600048593,1.36366503705814e-42,6.19875524408389e-41
"6-Sep",49,27,606,615,4.05942851632116,3.05657255064967,13.9923196805203,3.52231973207131e-06,7.51842388209148e-05,5.28785114447308,323.730979018767,37.3782993656019,610.083658671932,16.3218677421524,4.02873425196159,4.34949466321525e-32,1.30702665190034e-30,322.610006928296,3.96117747099068,0.314636110895559,12.5897102519983,2.40554737846307e-36,8.56079448633743e-35
"7-Mar",3711,3470,1883,1768,-0.954949130857296,7.14795506904039,-7.14569750572809,0.00023655352669831,0.00109330124394523,0.430944719473005,2703.52046786001,3582.62909707397,1824.41183864606,0.509238268660326,-0.973587254729125,4.82450199097533e-06,2.18563132188814e-05,2703.98708722425,-0.978543249831483,0.184170827084569,-5.31323698395593,1.07694834253054e-07,5.71508100149955e-07
"8-Sep",3480,3257,1572,1398,-1.1624162963175,6.95218303767612,-8.29313636663775,9.60219404229424e-05,0.000575263600889406,1.44367678040209,2422.7026109428,3361.20154069301,1484.20368119258,0.441569380242093,-1.17928796014552,4.29617051456622e-08,2.64790987826475e-07,2423.53000738577,-1.183247239312,0.18876807052947,-6.26825943600075,3.65106123989405e-10,2.62281637011955e-09
"A2LD1",103,121,0,4,-6.19707423515972,-0.476545137515781,-7.57460082903758,0.00016668836115064,0.000848387771101107,1.50564367438759,57.2275548662627,112.460859928874,1.99424980365151,0.0177328343826713,-5.81743303746337,6.81222225897301e-14,7.78371898014182e-13,57.3309887282879,-5.34308305795588,0.751312748391451,-7.11166297842721,1.14652962114364e-12,1.0625861046213e-11
"A2ML1",9,12,242,219,4.43205258842396,1.4743241893044,12.1305424551196,8.81938290940267e-06,0.000124735113770485,4.32340783919165,120.47575343961,10.5795383318672,230.371968547353,21.7752383252336,4.44461660378043,1.97820477904612e-19,3.21244759743113e-18,120.017300466492,4.32469702865547,0.459586540738552,9.40997319396194,4.96263458577978e-21,8.30243650082827e-20
"AADAT",302,258,640,689,1.26861752360846,4.57821707293049,7.64623259722604,0.00015747111186388,0.000813814070397748,1.07516145438826,471.345984666903,278.688445818649,664.003523515158,2.38260155193964,1.25253770641534,3.02246766437704e-06,1.41771764358393e-05,470.433330862854,1.23456882844847,0.23763736672574,5.1951797205079,2.04522161653883e-07,1.04666844507071e-06
"AARSD1",594,473,1028,1281,1.13263888832166,5.434573111105,6.44379150436365,0.000435611721286916,0.00170868329344702,-0.158949054310511,841.71210771663,529.972236608241,1153.45197882502,2.17643849837677,1.12196925314191,3.14977881745741e-06,1.47395668468577e-05,840.349066474681,1.1057495884708,0.225058009450855,4.91317590148801,8.96128103811706e-07,4.20786078375474e-06
"AASS",18,16,135,111,2.83513874216253,1.36062285341276,8.37912033999341,9.01329254286085e-05,0.00055040804001314,2.08199413357831,69.9417952713983,16.9389564557095,122.944634087087,7.25809965971352,2.85959186634981,1.86222831943317e-07,1.04629113934402e-06,69.7038249323857,2.76365449520672,0.487493193859346,5.66911401024423,1.43537832079656e-08,8.53860681447456e-08
